BacDive_ID,Name,Oxygen,Gram,Tolerance
2992,Roseateles depolymerans,"obligate aerobe, aerobe",Negative,Aerobes
12,Acetobacter cerevisiae,obligate aerobe,Negative,Aerobes
13,Acetobacter malorum,obligate aerobe,Negative,Aerobes
19,Acetobacter oeni,obligate aerobe,Negative,Aerobes
21,Acetobacter senegalensis,obligate aerobe,Negative,Aerobes
82,Acidisoma sibiricum,obligate aerobe,Negative,Aerobes
81,Acidisoma tundrae,obligate aerobe,Negative,Aerobes
133295,Acinetobacter celticus,obligate aerobe,Negative,Aerobes
140606,Acinetobacter defluvii,obligate aerobe,Negative,Aerobes
5477,Aequorivita sublithincola,obligate aerobe,Negative,Aerobes
437,Aestuariibacter halophilus,obligate aerobe,Negative,Aerobes
438,Aestuariibacter salexigens,obligate aerobe,Negative,Aerobes
133375,Aliidiomarina soli,obligate aerobe,Negative,Aerobes
133352,Altererythrobacter soli,obligate aerobe,Negative,Aerobes
447,Alteromonas stellipolaris,obligate aerobe,Negative,Aerobes
140504,Aquimarina aggregata,obligate aerobe,Negative,Aerobes
132622,Arenimicrobium luteum,obligate aerobe,Negative,Aerobes
34,Asaia siamensis,obligate aerobe,Negative,Aerobes
140516,Aureisphaera salina,obligate aerobe,Negative,Aerobes
1220,Bacillus farraginis,obligate aerobe,Negative,Aerobes
1221,Bacillus fordii,obligate aerobe,Negative,Aerobes
1219,Bacillus fortis,obligate aerobe,Negative,Aerobes
1154,Bacillus horti,obligate aerobe,Negative,Aerobes
133276,Bacterioplanoides pacificum,obligate aerobe,Negative,Aerobes
140538,Bombella apis,obligate aerobe,Negative,Aerobes
1817,Bradyrhizobium cytisi,obligate aerobe,Negative,Aerobes
1815,Bradyrhizobium pachyrhizi,obligate aerobe,Negative,Aerobes
132620,Brevitalea aridisoli,obligate aerobe,Negative,Aerobes
132621,Brevitalea deliciosa,obligate aerobe,Negative,Aerobes
133143,Chryseobacterium montanum,obligate aerobe,Negative,Aerobes
140616,Compostibacter hankyongensis,obligate aerobe,Negative,Aerobes
133032,Deinococcus saudiensis,obligate aerobe,Negative,Aerobes
140503,Emticicia paludis,obligate aerobe,Negative,Aerobes
140519,Flavobacterium humicola,obligate aerobe,Negative,Aerobes
5515,Flavobacterium johnsoniae,obligate aerobe,Negative,Aerobes
140518,Flavobacterium pedocola,obligate aerobe,Negative,Aerobes
140502,Flavobacterium verecundum,obligate aerobe,Negative,Aerobes
140515,Gelatiniphilus marinus,obligate aerobe,Negative,Aerobes
42,Gluconacetobacter sacchari,obligate aerobe,Negative,Aerobes
24046,Gramella forsetii,obligate aerobe,Negative,Aerobes
80,Granulibacter bethesdensis,obligate aerobe,Negative,Aerobes
138,Granulicella aggregans,obligate aerobe,Negative,Aerobes
139,Granulicella paludicola,obligate aerobe,Negative,Aerobes
137,Granulicella pectinivorans,obligate aerobe,Negative,Aerobes
136,Granulicella rosea,obligate aerobe,Negative,Aerobes
133294,Idiomarina tyrosinivorans,obligate aerobe,Negative,Aerobes
58,Kozakia baliensis,obligate aerobe,Negative,Aerobes
133285,Labrenzia salina,obligate aerobe,Negative,Aerobes
133188,Lacinutrix cladophorae,obligate aerobe,Negative,Aerobes
2055,Limnobacter thiooxidans,obligate aerobe,Negative,Aerobes
133046,Luteimonas padinae,obligate aerobe,Negative,Aerobes
133321,Marimonas arenosa,obligate aerobe,Negative,Aerobes
133387,Maripseudobacter aurantiacus,obligate aerobe,Negative,Aerobes
140594,Marivirga harenae,obligate aerobe,Negative,Aerobes
5616,Mesonia algae,obligate aerobe,Negative,Aerobes
5617,Mesonia mobilis,obligate aerobe,Negative,Aerobes
133349,Methylobacillus methanolivorans,obligate aerobe,Negative,Aerobes
133142,Mucilaginibacter pedocola,obligate aerobe,Negative,Aerobes
133397,Muricauda lutea,obligate aerobe,Negative,Aerobes
140647,Natrinema soli,obligate aerobe,Negative,Aerobes
140513,Niabella aquatica,obligate aerobe,Negative,Aerobes
133119,Niveitalea solisilvae,obligate aerobe,Negative,Aerobes
140632,Novosphingobium flavum,obligate aerobe,Negative,Aerobes
1878,Ochrobactrum anthropi,obligate aerobe,Negative,Aerobes
140575,Parahaliea aestuarii,obligate aerobe,Negative,Aerobes
132998,Parvularcula flava,obligate aerobe,Negative,Aerobes
140629,Phenylobacterium aquaticum,obligate aerobe,Negative,Aerobes
133198,Polaribacter marinaquae,obligate aerobe,Negative,Aerobes
448,Pseudoalteromonas fuliginea,obligate aerobe,Negative,Aerobes
132597,Pseudobacter ginsenosidimutans,obligate aerobe,Negative,Aerobes
140624,Rhizorhabdus dicambivorans,obligate aerobe,Negative,Aerobes
133348,Roseitalea porphyridii,obligate aerobe,Negative,Aerobes
76,Roseomonas aerilata,obligate aerobe,Negative,Aerobes
72,Roseomonas aquatica,obligate aerobe,Negative,Aerobes
77,Roseomonas pecuniae,obligate aerobe,Negative,Aerobes
133347,Roseovarius confluentis,obligate aerobe,Negative,Aerobes
133353,Saccharedens versatilis,obligate aerobe,Negative,Aerobes
13789,Sagittula stellata,obligate aerobe,Negative,Aerobes
133194,Sediminibacterium aquarii,obligate aerobe,Negative,Aerobes
133270,Sphingoaurantiacus capsulatus,obligate aerobe,Negative,Aerobes
140595,Sphingobacterium alkalisoli,obligate aerobe,Negative,Aerobes
133193,Sphingobacterium jejuense,obligate aerobe,Negative,Aerobes
140520,Taibaiella soli,obligate aerobe,Negative,Aerobes
5651,Tenacibaculum maritimum,obligate aerobe,Negative,Aerobes
133334,Terrimonas rhizosphaerae,obligate aerobe,Negative,Aerobes
1398,Ureibacillus suwonensis,obligate aerobe,Negative,Aerobes
132995,Wenyingzhuangia fucanilytica,obligate aerobe,Negative,Aerobes
140499,Zeaxanthinibacter aestuarii,obligate aerobe,Negative,Aerobes
5731,Zunongwangia profunda,obligate aerobe,Negative,Aerobes
133328,Aeromicrobium choanae,obligate aerobe,Positive,Aerobes
133205,Alteribacillus alkaliphilus,obligate aerobe,Positive,Aerobes
1239,Bacillus carboniphilus,obligate aerobe,Positive,Aerobes
1203,Bacillus endophyticus,obligate aerobe,Positive,Aerobes
140523,Bacillus nakamurai,obligate aerobe,Positive,Aerobes
133199,Flavihumibacter stibioxidans,obligate aerobe,Positive,Aerobes
140495,Flexivirga lutea,obligate aerobe,Positive,Aerobes
1438,Geobacillus thermantarcticus,obligate aerobe,Positive,Aerobes
1469,Gracilibacillus bigeumensis,obligate aerobe,Positive,Aerobes
1463,Gracilibacillus halophilus,obligate aerobe,Positive,Aerobes
1460,Gracilibacillus halotolerans,obligate aerobe,Positive,Aerobes
1464,Gracilibacillus lacisalsi,obligate aerobe,Positive,Aerobes
1466,Gracilibacillus thailandensis,obligate aerobe,Positive,Aerobes
130201,Halobacillus andaensis,obligate aerobe,Positive,Aerobes
1352,Halobacillus faecis,obligate aerobe,Positive,Aerobes
1327,Halobacillus halophilus,obligate aerobe,Positive,Aerobes
1344,Halobacillus karajensis,obligate aerobe,Positive,Aerobes
1343,Halobacillus litoralis,obligate aerobe,Positive,Aerobes
1353,Halobacillus mangrovi,obligate aerobe,Positive,Aerobes
1342,Halobacillus trueperi,obligate aerobe,Positive,Aerobes
132577,Isoptericola cucumis,obligate aerobe,Positive,Aerobes
1364,Lentibacillus halodurans,obligate aerobe,Positive,Aerobes
1362,Lentibacillus halophilus,obligate aerobe,Positive,Aerobes
1367,Lentibacillus jeotgali,obligate aerobe,Positive,Aerobes
1363,Lentibacillus kapialis,obligate aerobe,Positive,Aerobes
1361,Lentibacillus lacisalsi,obligate aerobe,Positive,Aerobes
1360,Lentibacillus salarius,obligate aerobe,Positive,Aerobes
1366,Lentibacillus salis,obligate aerobe,Positive,Aerobes
140585,Microbacterium tumbae,obligate aerobe,Positive,Aerobes
1375,Oceanobacillus chironomi,obligate aerobe,Positive,Aerobes
1378,Oceanobacillus kapialis,obligate aerobe,Positive,Aerobes
133157,Oceanobacillus longus,obligate aerobe,Positive,Aerobes
1374,Oceanobacillus oncorhynchi subsp. incaldanensis,obligate aerobe,Positive,Aerobes
1376,Oceanobacillus profundus,obligate aerobe,Positive,Aerobes
1381,Ornithinibacillus bavariensis,obligate aerobe,Positive,Aerobes
1382,Ornithinibacillus californiensis,obligate aerobe,Positive,Aerobes
1383,Ornithinibacillus contaminans,obligate aerobe,Positive,Aerobes
133371,Paenibacillus qinlingensis,obligate aerobe,Positive,Aerobes
1385,Paraliobacillus quinghaiensis,obligate aerobe,Positive,Aerobes
1386,Pontibacillus chungwhensis,obligate aerobe,Positive,Aerobes
1388,Pontibacillus halophilus,obligate aerobe,Positive,Aerobes
1387,Pontibacillus marinus,obligate aerobe,Positive,Aerobes
133088,Solibacillus kalamii,obligate aerobe,Positive,Aerobes
14090,Sphaerobacter thermophilus,obligate aerobe,Positive,Aerobes
1392,Thalassobacillus cyri,obligate aerobe,Positive,Aerobes
1393,Thalassobacillus pellis,obligate aerobe,Positive,Aerobes
1483,Virgibacillus halophilus,obligate aerobe,Positive,Aerobes
1488,Virgibacillus kekensis,obligate aerobe,Positive,Aerobes
1477,Virgibacillus marismortui,obligate aerobe,Positive,Aerobes
1476,Virgibacillus salexigens,obligate aerobe,Positive,Aerobes
1489,Virgibacillus sediminis,obligate aerobe,Positive,Aerobes
1208,Bacillus decolorationis,obligate aerobe,Variable,Aerobes
18040,Thermaerobacter marianensis,obligate aerobe,Variable,Aerobes
,Flavobacterium orientale,obligate aerobe,NI,Aerobes
,Microscilla marina,obligate aerobe,NI,Aerobes
,Polaribacter vadi,obligate aerobe,NI,Aerobes
,Thiomicrospira aerophila,obligate aerobe,NI,Aerobes
,Thiomicrospira cyclica,obligate aerobe,NI,Aerobes
,Thiomicrospira sibirica,obligate aerobe,NI,Aerobes
140488,Campylobacter pinnipediorum subsp. pinnipediorum,microaerotolerant,Negative,Aerobes
2140,Campylobacter cuniculorum,"microaerophile, microaerophile",Negative,Aerobes
2141,Campylobacter volucris,"microaerophile, microaerophile",Negative,Aerobes
11934,Galenea microaerophila,"microaerophile, microaerophile",Negative,Aerobes
6110,Helicobacter heilmannii,"microaerophile, microaerophile",Negative,Aerobes
11930,Hydrogenovibrio thermophilus,"microaerophile, microaerophile",Negative,Aerobes
520,Sulfurihydrogenibium rodmanii,"microaerophile, microaerophile",Negative,Aerobes
11909,Sulfurivirga caldicuralii,"microaerophile, microaerophile",Negative,Aerobes
22946,Alkalibacterium gilvum,"microaerophile, microaerophile",Positive,Aerobes
6691,Lactobacillus aquaticus,"microaerophile, microaerophile",Positive,Aerobes
24130,Lactobacillus porcinae,"microaerophile, microaerophile",Positive,Aerobes
24605,Streptococcus anginosus subsp. whileyi,"microaerophile, microaerophile",Positive,Aerobes
24606,Streptococcus constellatus subsp. viborgensis,"microaerophile, microaerophile",Positive,Aerobes
14133,Mucilaginibacter gracilis,"microaerophile, facultative aerobe",Negative,Aerobes
5634,Riemerella columbipharyngis,"microaerophile, facultative aerobe",Negative,Aerobes
14848,Streptococcus lactarius,"microaerophile, facultative aerobe",Positive,Aerobes
5258,Tetragenococcus koreensis,"microaerophile, facultative aerobe",Positive,Aerobes
5259,Tetragenococcus osmophilus,"microaerophile, facultative aerobe",Positive,Aerobes
2098,Arcobacter mytili,"microaerophile, aerobe",Negative,Aerobes
2099,Arcobacter thereius,"microaerophile, aerobe",Negative,Aerobes
2101,Arcobacter trophiarum,"microaerophile, aerobe",Negative,Aerobes
11450,Cohnella fontinalis,"microaerophile, aerobe",Negative,Aerobes
6773,Legionella dresdenensis,"microaerophile, aerobe",Negative,Aerobes
6776,Legionella pneumophila,"microaerophile, aerobe",Negative,Aerobes
17512,Pseudoxanthomonas spadix,"microaerophile, aerobe",Negative,Aerobes
521,Sulfurihydrogenibium kristjanssonii,"microaerophile, aerobe",Negative,Aerobes
2238,Suttonella ornithocola,"microaerophile, aerobe",Negative,Aerobes
